easting(x),northing(y),elevation(z)
209925.0,839975.0,459.8
209975.0,839975.0,452.1
210025.0,839975.0,443.9
210075.0,839975.0,435.2
210125.0,839975.0,429.7
210175.0,839975.0,425.1
210225.0,839975.0,416.8
210275.0,839975.0,410.2
210325.0,839975.0,405.3
210375.0,839975.0,399.9
210425.0,839975.0,392.7
210475.0,839975.0,387.9
210525.0,839975.0,382.9
210575.0,839975.0,375.1
210625.0,839975.0,370.0
210675.0,839975.0,366.5
210725.0,839975.0,357.6
210775.0,839975.0,344.5
210825.0,839975.0,336.8
210875.0,839975.0,329.6
210925.0,839975.0,325.4
210975.0,839975.0,321.2
211025.0,839975.0,315.0
211075.0,839975.0,307.3
211125.0,839975.0,300.5
211175.0,839975.0,295.9
211225.0,839975.0,292.7
211275.0,839975.0,289.3
211325.0,839975.0,284.1
211375.0,839975.0,279.0
211425.0,839975.0,274.1
211475.0,839975.0,268.5
211525.0,839975.0,265.6
211575.0,839975.0,261.2
211625.0,839975.0,256.8
211675.0,839975.0,253.3
211725.0,839975.0,249.0
211775.0,839975.0,244.4
211825.0,839975.0,239.7
211875.0,839975.0,236.5
211925.0,839975.0,236.7
211975.0,839975.0,232.4
212025.0,839975.0,230.3
212075.0,839975.0,218.7
212125.0,839975.0,218.7
212175.0,839975.0,218.7
212225.0,839975.0,218.7
212275.0,839975.0,227.5
212325.0,839975.0,228.6
212375.0,839975.0,231.5
212425.0,839975.0,232.2
212475.0,839975.0,232.4
212525.0,839975.0,232.1
212575.0,839975.0,231.0
212625.0,839975.0,233.1
212675.0,839975.0,231.1
212725.0,839975.0,227.9
212775.0,839975.0,230.1
212825.0,839975.0,218.7
212875.0,839975.0,218.7
212925.0,839975.0,225.2
212975.0,839975.0,229.6
213025.0,839975.0,227.4
213075.0,839975.0,224.2
213125.0,839975.0,218.7
213175.0,839975.0,218.7
213225.0,839975.0,218.7
213275.0,839975.0,218.7
213325.0,839975.0,218.7
213375.0,839975.0,218.7
213425.0,839975.0,218.7
213475.0,839975.0,218.7
213525.0,839975.0,218.7
213575.0,839975.0,219.5
213625.0,839975.0,227.0
213675.0,839975.0,229.3
213725.0,839975.0,228.8
213775.0,839975.0,228.8
213825.0,839975.0,228.5
213875.0,839975.0,227.3
213925.0,839975.0,228.2
213975.0,839975.0,226.5
214025.0,839975.0,219.1
214075.0,839975.0,224.5
214125.0,839975.0,218.7
214175.0,839975.0,226.1
214225.0,839975.0,222.0
214275.0,839975.0,218.7
214325.0,839975.0,218.7
214375.0,839975.0,218.7
214425.0,839975.0,230.2
214475.0,839975.0,232.7
214525.0,839975.0,231.7
214575.0,839975.0,235.1
214625.0,839975.0,234.8
214675.0,839975.0,237.0
214725.0,839975.0,247.6
214775.0,839975.0,254.8
214825.0,839975.0,257.8
214875.0,839975.0,262.3
214925.0,839975.0,266.5
214975.0,839975.0,266.8
215025.0,839975.0,276.8
215075.0,839975.0,280.9
215125.0,839975.0,284.8
215175.0,839975.0,286.8
215225.0,839975.0,291.6
215275.0,839975.0,297.7
215325.0,839975.0,301.4
215375.0,839975.0,305.4
215425.0,839975.0,311.2
215475.0,839975.0,312.4
