InitialWolves,Run,Extinction,ExtinctionWeek,MinDeer,FinalDeer,FinalWolves,MaxWolves,TimeToDeer4000,TimeToDeer3000,MeanDeerPerWolf_Year1,MeanWeeklyDeerKilled_Year1,MeanWolfBirths_Year1,MeanWolfDeaths_Year1,MeanDeer_FinalPhase,SDDeer_FinalPhase,MeanWolves_FinalPhase
20,0,False,,611,2470,21,83,1012.0,1091.0,363.1660756956742,3.1523809523809523,0.0761904761904762,0.02857142857142857,2881.829917008299,434.59410484828607,21.033496650334968
20,1,False,,634,1910,16,84,1062.5,1161.0,356.0084932614297,4.4,0.0761904761904762,0.02857142857142857,2156.871312868713,327.95103161595057,15.340765923407659
20,2,True,0.0,218,218,0,80,1323.0,1481.0,347.20046385285946,4.257142857142857,0.08571428571428572,0.047619047619047616,292.6211232187762,52.70620058665721,1.9455155071248953
20,3,True,0.0,358,409,0,85,1465.0,1565.5,358.9244645292135,3.9523809523809526,0.09523809523809523,0.0761904761904762,407.3269391159299,34.118910200614444,2.770642201834862
20,4,False,,716,2666,23,86,1248.0,1415.5,376.157645710288,5.228571428571429,0.05714285714285714,0.02857142857142857,1890.110888911109,512.0074386202018,12.971702829717028
20,5,True,0.0,154,203,0,82,1334.0,1458.0,370.3033061967385,4.238095238095238,0.11428571428571428,0.047619047619047616,182.19452449567723,17.46186448135551,1.2406340057636887
20,6,True,0.0,426,444,0,76,1063.0,1153.0,358.3086172716325,4.485714285714286,0.08571428571428572,0.009523809523809525,489.6682615629984,25.633521249726527,3.4513556618819776
20,7,True,0.0,558,584,0,77,1238.5,1332.0,324.7590222886575,4.133333333333334,0.13333333333333333,0.0380952380952381,601.3272357723578,42.91303550860588,2.815040650406504
20,8,False,,534,1692,13,80,1179.0,1294.0,379.99703447116866,4.142857142857143,0.05714285714285714,0.01904761904761905,2229.4250574942507,984.7798996771103,15.60963903609639
20,9,False,,596,2697,19,80,1190.0,1296.5,362.4983663900555,4.066666666666666,0.08571428571428572,0.02857142857142857,2127.989801019898,267.6528611765068,14.988701129887012
20,10,True,0.0,168,188,0,91,1264.0,1369.0,359.0309384452705,4.371428571428571,0.05714285714285714,0.009523809523809525,953.5425127734835,624.9748358094072,6.13336826935674
20,11,True,0.0,211,225,0,90,1301.5,1387.0,387.46764658915777,4.019047619047619,0.0761904761904762,0.05714285714285714,283.6173361522199,52.13557291993689,1.9143763213530656
20,12,False,,478,1383,11,77,1264.5,1399.0,404.01935148401225,4.333333333333333,0.047619047619047616,0.047619047619047616,1903.090690930907,429.14028717230985,12.756624337566244
20,13,False,,387,2335,14,81,1299.5,1452.0,391.8015894203436,4.3238095238095235,0.02857142857142857,0.02857142857142857,1760.7779222077793,353.1606900215854,11.718728127187282
20,14,False,,840,1881,16,80,1303.5,1521.5,352.70470175737296,3.980952380952381,0.10476190476190476,0.05714285714285714,2222.960103989601,839.2517000924985,16.03799620037996
20,15,True,0.0,401,466,0,82,1098.5,1188.5,386.89708620248246,4.352380952380952,0.047619047619047616,0.02857142857142857,448.03115501519756,18.872228427327133,2.8335866261398177
